global_lock,2,1,0,15083008,8405632,6669488,8405632,6677376
global_lock,4,1.00002,0,8737024,3959168,3969168,3959168,4777856
global_lock,8,1.00009,0,5476352,3498496,1977856,3498496,1977856
fine_lock,2,1.00001,0,20432256,5404544,5414507,5404544,15027712
fine_lock,4,1.00002,0,11890816,6998400,4892416,6998400,4892416
fine_lock,8,1.00004,0,8510720,4792576,3718144,4792576,3718144
lock_free,2,1,0,132760448,6181888,6191825,6181888,126578560
lock_free,4,1.00001,0,51829888,6531584,6541388,6531584,45298304
lock_free,8,1.00004,0,15814400,5339136,5348967,5339136,10475264
global_lock,2,1.00001,0,17086080,8381568,8481568,8381568,8704512
global_lock,4,1.00002,0,9111936,6110848,3001088,6110848,3001088
global_lock,8,1.00003,0,5460736,3894272,1566464,3894272,1566464
fine_lock,2,1,0,18256000,5260160,5360160,5260160,12995840
fine_lock,4,1.00002,0,11592320,7133824,4458496,7133824,4458496
fine_lock,8,1.00003,0,8366720,4818048,3548672,4818048,3548672
lock_free,2,1,0,112953856,6120832,6220780,6120832,106833024
lock_free,4,1.00001,0,44850048,6582400,6682280,6582400,38267648
lock_free,8,1.00002,0,15349120,5374208,5474144,5374208,9974912
global_lock,2,1,0,17475328,12032512,5442816,12032512,5442816
global_lock,4,1.00002,0,8673152,3747584,3847389,3747584,4925568
global_lock,8,1.00003,0,5997184,2336896,2436776,2336896,3660288
fine_lock,2,1,0,18491776,5555712,5655663,5555712,12936064
fine_lock,4,1.00002,0,11679744,7061760,4617984,7061760,4617984
fine_lock,8,1.00003,0,8726656,4868736,3857920,4868736,3857920
lock_free,2,1,0,115827200,6071296,6171250,6071296,109755904
lock_free,4,1.00001,0,43087488,6663168,6763126,6663168,36424320
lock_free,8,1.00001,0,15601280,5445632,5545569,5445632,10155648
